STAT_VAR,STAT_PRES,SEX,AGE,CCYY,H,OBS_VALUE,SD_VALUE
POP,Prop_1dp_%_n,M,zero,2000,2,0.4,
POP,Prop_1dp_%_n,M,zero,2001,2,0.3,
POP,Prop_1dp_%_n,M,zero,2002,2,0.3,
POP,Prop_1dp_%_n,M,zero,2003,2,0.3,
POP,Prop_1dp_%_n,M,zero,2004,2,0.3,
POP,Prop_1dp_%_n,M,zero,2005,2,0.3,
POP,Prop_1dp_%_n,M,zero,2006,2,0.4,
POP,Prop_1dp_%_n,M,zero,2007,2,0.3,
POP,Prop_1dp_%_n,M,zero,2008,2,0.3,
POP,Prop_1dp_%_n,M,zero,2009,2,0.3,
POP,Prop_1dp_%_n,M,zero,2010,2,0.4,
POP,Prop_1dp_%_n,M,zero,2011,2,0.4,
POP,Prop_1dp_%_n,M,zero,2012,2,0.4,
POP,Prop_1dp_%_n,M,zero,2013,2,0.3,
POP,Prop_1dp_%_n,M,zero,2014,2,0.4,
POP,Prop_1dp_%_n,M,zero,2015,2,0.4,
POP,Prop_1dp_%_n,M,zero,2016,2,0.4,
POP,Prop_1dp_%_n,M,zero,2017,2,0.3,
POP,Prop_1dp_%_n,M,zero,2018,2,0.3,
POP,Prop_1dp_%_n,M,zero,2019,2,0.3,
POP,Prop_1dp_%_n,M,zero,2020,2,0.3,
POP,Prop_1dp_%_n,M,zero,2021,2,0.3,
POP,Prop_1dp_%_n,M,zero,2022,2,0.2,
POP,Prop_1dp_%_n,M,1,2000,2,0.4,
POP,Prop_1dp_%_n,M,1,2001,2,0.4,
POP,Prop_1dp_%_n,M,1,2002,2,0.3,
POP,Prop_1dp_%_n,M,1,2003,2,0.3,
POP,Prop_1dp_%_n,M,1,2004,2,0.3,
POP,Prop_1dp_%_n,M,1,2005,2,0.3,
POP,Prop_1dp_%_n,M,1,2006,2,0.3,
POP,Prop_1dp_%_n,M,1,2007,2,0.4,
POP,Prop_1dp_%_n,M,1,2008,2,0.3,
POP,Prop_1dp_%_n,M,1,2009,2,0.3,
POP,Prop_1dp_%_n,M,1,2010,2,0.3,
POP,Prop_1dp_%_n,M,1,2011,2,0.4,
POP,Prop_1dp_%_n,M,1,2012,2,0.4,
POP,Prop_1dp_%_n,M,1,2013,2,0.4,
POP,Prop_1dp_%_n,M,1,2014,2,0.3,
POP,Prop_1dp_%_n,M,1,2015,2,0.4,
POP,Prop_1dp_%_n,M,1,2016,2,0.4,
POP,Prop_1dp_%_n,M,1,2017,2,0.4,
POP,Prop_1dp_%_n,M,1,2018,2,0.3,
POP,Prop_1dp_%_n,M,1,2019,2,0.3,
POP,Prop_1dp_%_n,M,1,2020,2,0.3,
POP,Prop_1dp_%_n,M,1,2021,2,0.3,
POP,Prop_1dp_%_n,M,1,2022,2,0.3,
POP,Prop_1dp_%_n,M,2,2000,2,0.4,
POP,Prop_1dp_%_n,M,2,2001,2,0.4,
POP,Prop_1dp_%_n,M,2,2002,2,0.4,
POP,Prop_1dp_%_n,M,2,2003,2,0.3,
POP,Prop_1dp_%_n,M,2,2004,2,0.3,
POP,Prop_1dp_%_n,M,2,2005,2,0.3,
POP,Prop_1dp_%_n,M,2,2006,2,0.3,
