STAT_VAR,STAT_PRES,AGE,CCYY,OBS_VALUE,SD_VALUE
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2000,1086,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2001,1086,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2002,1074,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2003,1073,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2004,1081,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2005,1073,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2006,1076,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2007,1078,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2008,1084,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2009,1088,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2010,1092,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2011,1082,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2012,1082,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2013,1070,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2014,1072,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2015,1078,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2016,1076,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2017,1069,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2018,1066,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2019,1065,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2020,1061,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2021,1053,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2022,1054,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,0-4,2023,1065,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2000,1083,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2001,1074,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2002,1064,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2003,1060,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2004,1058,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2005,1061,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2006,1069,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2007,1077,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2008,1087,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2009,1077,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2010,1074,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2011,1072,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2012,1063,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2013,1065,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2014,1073,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2015,1080,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2016,1075,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2017,1088,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2018,1079,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2019,1068,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2020,1066,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2021,1058,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2022,1055,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,5-9,2023,1054,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2000,1056,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2001,1060,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2002,1060,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2003,1059,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2004,1058,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2005,1056,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2006,1052,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2007,1050,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2008,1053,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2009,1053,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2010,1058,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2011,1067,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2012,1069,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2013,1069,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2014,1057,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2015,1051,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2016,1042,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2017,1047,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2018,1065,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2019,1072,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2020,1059,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2021,1072,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2022,1078,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2023,1083,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2000,1067,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2001,1064,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2002,1059,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2003,1047,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2004,1036,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2005,1030,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2006,1040,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2007,1052,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2008,1059,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2009,1060,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2010,1061,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2011,1053,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2012,1054,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2013,1061,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2014,1060,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2015,1065,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2016,1075,
