STAT_VAR,STAT_PRES,CCYY,M3M,SEX,OBS_VALUE,SD_VALUE
LF,Raw_K_1dp_per_n,2000,,M,1964.0,
LF,Raw_K_1dp_per_n,2000,,F,1410.2,
LF,Raw_K_1dp_per_n,2000,,,3374.2,
UR,Rate_1dp_%_n,2000,,M,5.6,
UR,Rate_1dp_%_n,2000,,F,4.1,
UR,Rate_1dp_%_n,2000,,,4.9,
EM,Raw_K_1dp_per_n,2000,,M,1854.5,
EM,Raw_K_1dp_per_n,2000,,F,1352.8,
EM,Raw_K_1dp_per_n,2000,,,3207.3,
LF,Raw_K_1dp_per_n,2001,,M,1963.5,
LF,Raw_K_1dp_per_n,2001,,F,1463.8,
LF,Raw_K_1dp_per_n,2001,,,3427.3,
UR,Rate_1dp_%_n,2001,,M,6.0,
UR,Rate_1dp_%_n,2001,,F,3.9,
UR,Rate_1dp_%_n,2001,,,5.1,
EM,Raw_K_1dp_per_n,2001,,M,1845.7,
EM,Raw_K_1dp_per_n,2001,,F,1407.3,
EM,Raw_K_1dp_per_n,2001,,,3252.9,
LF,Raw_K_1dp_per_n,2002,,M,1958.1,
LF,Raw_K_1dp_per_n,2002,,F,1514.5,
LF,Raw_K_1dp_per_n,2002,,,3472.6,
UR,Rate_1dp_%_n,2002,,M,8.4,
UR,Rate_1dp_%_n,2002,,F,6.0,
UR,Rate_1dp_%_n,2002,,,7.3,
EM,Raw_K_1dp_per_n,2002,,M,1794.0,
EM,Raw_K_1dp_per_n,2002,,F,1424.4,
EM,Raw_K_1dp_per_n,2002,,,3218.4,
LF,Raw_K_1dp_per_n,2003,,M,1944.2,
LF,Raw_K_1dp_per_n,2003,,F,1521.6,
LF,Raw_K_1dp_per_n,2003,,,3465.8,
UR,Rate_1dp_%_n,2003,,M,9.3,
UR,Rate_1dp_%_n,2003,,F,6.3,
UR,Rate_1dp_%_n,2003,,,7.9,
EM,Raw_K_1dp_per_n,2003,,M,1764.3,
EM,Raw_K_1dp_per_n,2003,,F,1426.3,
EM,Raw_K_1dp_per_n,2003,,,3190.6,
LF,Raw_K_1dp_per_n,2004,,M,1952.7,
LF,Raw_K_1dp_per_n,2004,,F,1560.1,
LF,Raw_K_1dp_per_n,2004,,,3512.8,
UR,Rate_1dp_%_n,2004,,M,7.8,
UR,Rate_1dp_%_n,2004,,F,5.6,
UR,Rate_1dp_%_n,2004,,,6.8,
EM,Raw_K_1dp_per_n,2004,,M,1800.8,
EM,Raw_K_1dp_per_n,2004,,F,1472.7,
EM,Raw_K_1dp_per_n,2004,,,3273.5,
LF,Raw_K_1dp_per_n,2005,,M,1950.1,
LF,Raw_K_1dp_per_n,2005,,F,1584.1,
LF,Raw_K_1dp_per_n,2005,,,3534.2,
UR,Rate_1dp_%_n,2005,,M,6.5,
UR,Rate_1dp_%_n,2005,,F,4.4,
UR,Rate_1dp_%_n,2005,,,5.6,
EM,Raw_K_1dp_per_n,2005,,M,1822.6,
EM,Raw_K_1dp_per_n,2005,,F,1514.0,
EM,Raw_K_1dp_per_n,2005,,,3336.6,
LF,Raw_K_1dp_per_n,2006,,M,1950.6,
LF,Raw_K_1dp_per_n,2006,,F,1621.2,
LF,Raw_K_1dp_per_n,2006,,,3571.8,
UR,Rate_1dp_%_n,2006,,M,5.7,
UR,Rate_1dp_%_n,2006,,F,3.8,
UR,Rate_1dp_%_n,2006,,,4.8,
EM,Raw_K_1dp_per_n,2006,,M,1840.4,
EM,Raw_K_1dp_per_n,2006,,F,1560.4,
EM,Raw_K_1dp_per_n,2006,,,3400.8,
LF,Raw_K_1dp_per_n,2007,,M,1953.6,
LF,Raw_K_1dp_per_n,2007,,F,1668.7,
